Temperature,Frequency,Storage Modulus
100,0.1,34.826
100,0.113,35.272
100,0.127,35.975
100,0.143,36.809
100,0.16,37.681
100,0.18,38.578
100,0.203,39.496
100,0.229,40.438
100,0.257,41.38
100,0.289,42.336
100,0.326,43.279
100,0.367,44.236
100,0.412,45.204
100,0.464,46.178
100,0.522,47.165
100,0.588,48.181
100,0.661,49.214
100,0.744,50.255
100,0.838,51.318
100,0.943,52.385
100,1.06,53.478
100,1.19,54.577
100,1.34,55.702
100,1.51,56.843
100,1.7,57.984
100,1.91,59.149
100,2.15,60.335
100,2.42,61.525
100,2.73,62.73
100,3.07,63.951
100,3.46,65.195
100,3.89,66.451
100,4.38,67.741
100,4.92,69.041
100,5.54,70.387
100,6.24,71.767
100,7.02,73.203
100,7.9,74.42
100,8.89,75.893
100,10,77.423
110,0.1,22.017
110,0.113,22.25
110,0.127,22.664
110,0.143,23.202
110,0.16,23.767
110,0.18,24.322
110,0.203,24.908
110,0.229,25.501
110,0.257,26.084
110,0.289,26.673
110,0.326,27.268
110,0.367,27.858
110,0.412,28.455
110,0.464,29.071
110,0.522,29.683
110,0.588,30.321
110,0.661,30.968
110,0.744,31.633
110,0.838,32.317
110,0.943,33.022
110,1.06,33.736
110,1.19,34.466
110,1.34,35.222
110,1.51,35.983
110,1.7,36.768
110,1.91,37.562
110,2.15,38.385
110,2.42,39.223
110,2.73,40.078
110,3.07,40.959
110,3.46,41.866
110,3.89,42.793
110,4.38,43.752
110,4.92,44.733
110,5.54,45.764
110,6.24,46.844
110,7.02,47.985
110,7.9,48.914
110,8.89,50.098
110,10,51.365
120,0.1,10.251
120,0.113,10.023
120,0.127,10.034
120,0.143,10.238
120,0.16,10.524
120,0.18,10.845
120,0.203,11.18
120,0.229,11.506
120,0.257,11.851
120,0.289,12.19
120,0.326,12.52
120,0.367,12.854
120,0.412,13.187
120,0.464,13.524
120,0.522,13.863
120,0.588,14.21
120,0.661,14.569
120,0.744,14.93
120,0.838,15.311
